# Train loss, Test loss
2.669679187238216400e-02,3.258223459124565125e-02
2.255613729357719421e-02,2.721966244280338287e-02
1.914896629750728607e-02,2.269687876105308533e-02
1.626965589821338654e-02,1.899307034909725189e-02
1.388842612504959106e-02,1.621455885469913483e-02
1.299355830997228622e-02,1.424992550164461136e-02
1.210251729935407639e-02,1.353459805250167847e-02
1.131110079586505890e-02,1.312567014247179031e-02
1.075896900147199631e-02,1.304761040955781937e-02
1.024013198912143707e-02,1.252855639904737473e-02
9.920391254127025604e-03,1.169308926910161972e-02
9.595625102519989014e-03,1.187533512711524963e-02
9.476548060774803162e-03,1.217122282832860947e-02
9.380088187754154205e-03,1.213798299431800842e-02
9.196865372359752655e-03,1.184105873107910156e-02
9.089316241443157196e-03,1.144359819591045380e-02
8.907419629395008087e-03,1.053624227643013000e-02
8.816152811050415039e-03,9.560471400618553162e-03
8.839765563607215881e-03,8.902580477297306061e-03
8.923429995775222778e-03,8.809926919639110565e-03
8.954375050961971283e-03,9.282145649194717407e-03
9.115301072597503662e-03,9.746244177222251892e-03
9.042774327099323273e-03,9.555728174746036530e-03
8.850259706377983093e-03,8.988168090581893921e-03
8.679569698870182037e-03,8.454006165266036987e-03
8.510661311447620392e-03,8.097484707832336426e-03
8.409082889556884766e-03,7.905629463493824005e-03
8.398270234465599060e-03,7.857477292418479919e-03
8.244777098298072815e-03,7.615350652486085892e-03
8.131268434226512909e-03,7.440454326570034027e-03
7.938805967569351196e-03,7.373997475951910019e-03
7.416453212499618530e-03,7.188878487795591354e-03
6.763324607163667679e-03,6.647660862654447556e-03
6.179746240377426147e-03,6.050167605280876160e-03
5.941054783761501312e-03,5.856735166162252426e-03
5.978592671453952789e-03,6.275119259953498840e-03
5.872119683772325516e-03,6.161353550851345062e-03
5.642286036163568497e-03,5.655298009514808655e-03
5.461005959659814835e-03,5.112256389111280441e-03
5.474826786667108536e-03,4.834506660699844360e-03
5.588808562606573105e-03,4.801226779818534851e-03
5.549472756683826447e-03,4.769700579345226288e-03
5.416829138994216919e-03,4.680841695517301559e-03
5.355766974389553070e-03,4.645127803087234497e-03
5.377094727009534836e-03,4.657876677811145782e-03
5.390456877648830414e-03,4.592678975313901901e-03
5.379000678658485413e-03,4.455135203897953033e-03
5.369150545448064804e-03,4.381695296615362167e-03
5.373463500291109085e-03,4.404924344271421432e-03
5.353869404643774033e-03,4.440045449882745743e-03
5.305634345859289169e-03,4.453724250197410583e-03
5.250432062894105911e-03,4.473355598747730255e-03
5.228252615779638290e-03,4.537126049399375916e-03
5.231481045484542847e-03,4.603115376085042953e-03
5.220651626586914062e-03,4.606894683092832565e-03
5.184752400964498520e-03,4.569559358060359955e-03
5.161920096725225449e-03,4.575798287987709045e-03
5.157932173460721970e-03,4.660833161324262619e-03
5.169826559722423553e-03,4.819616675376892090e-03
5.186123773455619812e-03,4.957069642841815948e-03
5.192532669752836227e-03,5.028820130974054337e-03
5.180053878575563431e-03,5.005432292819023132e-03
5.163656082004308701e-03,4.912309348583221436e-03
5.157758016139268875e-03,4.785207100212574005e-03
5.155552178621292114e-03,4.672044422477483749e-03
5.150903016328811646e-03,4.580539651215076447e-03
5.144332535564899445e-03,4.530281759798526764e-03
5.135046318173408508e-03,4.525945521891117096e-03
5.127451382577419281e-03,4.556601867079734802e-03
5.122351460158824921e-03,4.607300274074077606e-03
5.125103518366813660e-03,4.663314670324325562e-03
5.129680037498474121e-03,4.686499014496803284e-03
5.127379670739173889e-03,4.657541401684284210e-03
5.122388713061809540e-03,4.589974414557218552e-03
5.122052039951086044e-03,4.519369453191757202e-03
5.122616887092590332e-03,4.457336850464344025e-03
5.124081857502460480e-03,4.415412433445453644e-03
5.125346593558788300e-03,4.409743007272481918e-03
5.121526308357715607e-03,4.438932053744792938e-03
5.116310901939868927e-03,4.496068228036165237e-03
5.114702973514795303e-03,4.562458954751491547e-03
5.117049906402826309e-03,4.615018144249916077e-03
5.117353983223438263e-03,4.630090203136205673e-03
5.115367006510496140e-03,4.613529890775680542e-03
5.112715996801853180e-03,4.580494016408920288e-03
5.110950674861669540e-03,4.544899333268404007e-03
5.112126935273408890e-03,4.522197879850864410e-03
5.113963037729263306e-03,4.520730581134557724e-03
5.113154184073209763e-03,4.535298794507980347e-03
5.111980251967906952e-03,4.560125060379505157e-03
5.110925529152154922e-03,4.585828632116317749e-03
5.110702943056821823e-03,4.610666539520025253e-03
5.111423786729574203e-03,4.621610511094331741e-03
5.111492704600095749e-03,4.615213256329298019e-03
5.110904108732938766e-03,4.595973994582891464e-03
5.110668949782848358e-03,4.574026912450790405e-03
5.110424011945724487e-03,4.558567423373460770e-03
5.109799560159444809e-03,4.545286297798156738e-03
5.109583027660846710e-03,4.536790307611227036e-03
5.109258927404880524e-03,4.530846141278743744e-03
5.109422840178012848e-03,4.526946227997541428e-03
5.109800025820732117e-03,4.525270778685808182e-03
5.109386518597602844e-03,4.524475894868373871e-03
5.108956713229417801e-03,4.525029100477695465e-03
5.108950193971395493e-03,4.526521079242229462e-03
5.108463577926158905e-03,4.529113881289958954e-03
5.108454264700412750e-03,4.534772597253322601e-03
5.108429584652185440e-03,4.540698602795600891e-03
5.108373239636421204e-03,4.499711561948060989e-03
5.076020490378141403e-03,4.450924694538116455e-03
5.129325203597545624e-03,4.507296252995729446e-03
5.071801599115133286e-03,4.444389604032039642e-03
5.066693294793367386e-03,4.441480152308940887e-03
5.117407068610191345e-03,4.515910521149635315e-03
5.120014771819114685e-03,4.523682408034801483e-03
5.116069223731756210e-03,4.482750315219163895e-03
5.071682855486869812e-03,4.513713065534830093e-03
5.065771285444498062e-03,4.437348805367946625e-03
5.096270237118005753e-03,4.427954554557800293e-03
5.091756116598844528e-03,4.451488144695758820e-03
5.102031864225864410e-03,4.445381928235292435e-03
5.091613624244928360e-03,4.432992544025182724e-03
5.072806030511856079e-03,4.490779247134923935e-03
5.066702142357826233e-03,4.581965040415525436e-03
5.075152963399887085e-03,4.663111176341772079e-03
5.079972092062234879e-03,4.684472922235727310e-03
5.084667354822158813e-03,4.695477429777383804e-03
5.083939991891384125e-03,4.697370808571577072e-03
