# Train loss, Test loss
1.174566596746444702e-01,1.243496164679527283e-01
1.010441482067108154e-01,1.071987375617027283e-01
8.476294577121734619e-02,9.029606729745864868e-02
6.947775930166244507e-02,7.436170428991317749e-02
5.386801064014434814e-02,5.894333496689796448e-02
4.235172271728515625e-02,4.648064076900482178e-02
3.457072004675865173e-02,3.898856043815612793e-02
2.767170779407024384e-02,3.319148346781730652e-02
1.793797686696052551e-02,2.394160814583301544e-02
1.077055372297763824e-02,1.651948876678943634e-02
7.101770956069231033e-03,1.348373666405677795e-02
7.043488323688507080e-03,1.391087099909782410e-02
7.213873323053121567e-03,1.443193014711141586e-02
6.205155514180660248e-03,1.329168491065502167e-02
4.546799231320619583e-03,1.091328728944063187e-02
3.278920892626047134e-03,8.347188122570514679e-03
3.617650130763649940e-03,7.276065181940793991e-03
4.502520896494388580e-03,7.355969399213790894e-03
4.556288011372089386e-03,7.484474219381809235e-03
4.043212160468101501e-03,7.546796929091215134e-03
3.661155235022306442e-03,8.120631799101829529e-03
3.396965330466628075e-03,8.767293766140937805e-03
2.974948147311806679e-03,8.859701454639434814e-03
2.581699052825570107e-03,8.741476573050022125e-03
2.445975318551063538e-03,8.989715017378330231e-03
2.573829842731356621e-03,9.559299796819686890e-03
2.593078184872865677e-03,9.808148257434368134e-03
2.341991057619452477e-03,9.441496804356575012e-03
1.988123636692762375e-03,8.707329630851745605e-03
1.628321129828691483e-03,7.858052849769592285e-03
1.549710286781191826e-03,7.251660805195569992e-03
1.735721016302704811e-03,7.002826314419507980e-03
1.816947245970368385e-03,6.847622804343700409e-03
1.633492996916174889e-03,6.670936476439237595e-03
1.343081705272197723e-03,6.594798061996698380e-03
1.133702346123754978e-03,6.729924120008945465e-03
1.056636567227542400e-03,7.032327353954315186e-03
1.102039357647299767e-03,7.428320590406656265e-03
1.162863918580114841e-03,7.689037360250949860e-03
1.102584181353449821e-03,7.546766661107540131e-03
9.834002703428268433e-04,7.084665354341268539e-03
9.283225517719984055e-04,6.569863762706518173e-03
8.949365001171827316e-04,6.095949560403823853e-03
8.171036606654524803e-04,5.663177464157342911e-03
7.634426001459360123e-04,5.375440232455730438e-03
7.753685931675136089e-04,5.281151738017797470e-03
7.787586655467748642e-04,5.273589398711919785e-03
7.279008859768509865e-04,5.266899242997169495e-03
6.486492347903549671e-04,5.251003894954919815e-03
5.641159368678927422e-04,5.209595896303653717e-03
5.122270667925477028e-04,5.147029645740985870e-03
5.165275069884955883e-04,5.088970530778169632e-03
5.255100550130009651e-04,5.032732617110013962e-03
4.942952655255794525e-04,4.973458591848611832e-03
4.511919396463781595e-04,4.944609943777322769e-03
4.255815001670271158e-04,4.949251655489206314e-03
4.069321439601480961e-04,4.943129606544971466e-03
3.904844343196600676e-04,4.896198865026235580e-03
3.754894714802503586e-04,4.807374440133571625e-03
3.533859562594443560e-04,4.698162432760000229e-03
3.244471154175698757e-04,4.608486779034137726e-03
2.960945712402462959e-04,4.575616214424371719e-03
2.759298949968069792e-04,4.604211542755365372e-03
2.681078040041029453e-04,4.656215663999319077e-03
2.646864741109311581e-04,4.695393145084381104e-03
2.552172809373587370e-04,4.683261737227439880e-03
2.420278178760781884e-04,4.644579719752073288e-03
2.284777001477777958e-04,4.617638885974884033e-03
2.137339324690401554e-04,4.606494680047035217e-03
2.012067125178873539e-04,4.595176316797733307e-03
1.943199749803170562e-04,4.568240139633417130e-03
1.903340744320303202e-04,4.530768841505050659e-03
1.848110114224255085e-04,4.512154497206211090e-03
1.759127044351771474e-04,4.541250877082347870e-03
1.669539487920701504e-04,4.622561391443014145e-03
1.622681447770446539e-04,4.719442687928676605e-03
1.580118405399844050e-04,4.778718575835227966e-03
1.491428702138364315e-04,4.774469882249832153e-03
